"female","male","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled","pat.clutch.size"
"2850-57650","2850-57881",16.49,17.68973745,0.527524421,637.359,35485.61333,37.8482436,0.422268626,611.004,75923.57667,25.65847624,0.39658214,610.6836667,51470.90333,24.74415088,0.447231158,610.6836667,49636.76667,116.3333333,74.33333333,74.16666667,74.33333333,-0.835711625452285,0.553081751767378,1.79200900661347,0.100784374320667,-0.304105471208029,16.55,11.73463277,0.535560863,644.7453333,23539.67333,21.93833167,0.494146676,611.004,44008.29333,26.56095214,0.438684751,643.7343333,53281.27,31.59365071,0.464706779,610.6836667,63376.86333,119.6666667,84.83333333,85.83333333,84.83333333,-0.578702317633627,-0.50589447430401,-0.16810517715307,1.18609965478082,2.07463465843017,4
"2850-57652","2850-57581",15.44,16.27360253,0.547521478,687.0273333,32644.84667,25.43874875,0.469492898,616.7976667,51030.13,25.62919242,0.427143999,665.8,51412.16,26.1985211,0.446364335,648.784,52554.23333,110.5,74,72,74,-0.920543805985966,0.0923616887128494,-0.0652425713766268,0.0945805215453506,-0.0922479415112342,15.5,12.5018158,0.557442636,674.1035,25078.6425,18.94245264,0.521103483,641.0916667,37998.56,27.0381655,0.472765016,616.0483333,54238.56,19.62838485,0.524143762,664.102,39374.54,116,82.5,83,82.5,-0.857475046428205,-0.308807586528723,-0.780541178943333,1.31036584447863,-0.29122786414068,2
"2850-57654","2850-57580",16.58,17.81852775,0.491470518,642.7856667,35743.96667,29.97126288,0.455286658,625.7763333,60122.35333,23.62500332,0.464684502,625.7763333,47391.75667,21.69604187,0.468765781,642.4716667,43522.26,116.6666667,79.83333333,81,79.83333333,0.564019367350756,0.594981908524202,0.613110506001452,-0.330012107090304,-0.748122294589591,16.2,9.142844799,0.560214832,667.427,18340.54667,27.48113161,0.465556814,625.399,55127.15,22.9424111,0.468469624,647.108,46022.47667,30.74621137,0.465611781,608.7603333,61676.9,117.5,87.83333333,NA,87.83333333,-0.220280237242851,-1.17171658585126,0.964988048569367,0.243832851299199,1.90707256677948,4
"2850-57656","2850-57744",17.54,19.51600199,0.471636446,627.6863333,39149.1,27.59028249,0.438703207,611.004,55346.10667,21.03005151,0.436138594,610.6836667,42186.28333,27.85981057,0.44920838,611.004,55886.78,115.8333333,76,75.83333333,76,-0.411550717693951,1.14723185861105,0.256764043881684,-0.879759339120829,0.149751432778413,14.77,24.63866733,0.441897015,611.004,49425.16667,20.45419575,0.491736389,610.6836667,41031.11667,20.25567464,0.470934773,627.6863333,40632.88333,16.45550847,0.489979153,643.7406667,33009.75,116,84.5,NA,84.5,-0.618526992834355,2.80911108724386,-0.47150136233152,-0.45579237001976,-0.918592889207685,5
"2850-57670","2850-57671",18.2,19.57938518,0.470545396,598.0346667,39276.24667,27.12702227,0.458456098,634.4516667,54416.80667,24.27453971,0.4589917,618.3906667,48694.72667,21.16678132,0.479551687,604.4223333,42460.56333,118.8333333,NA,80,80,0.606435458890079,1.16785270969026,0.187430780520441,-0.192406148039527,-0.82521946774882,17.53,16.28350449,0.48181303,667.733,32664.71,28.84180791,0.479499655,593.4133333,57856.66667,23.68146062,0.459973843,641.034,47505.01,25.7482569,0.475226128,607.0326667,51651.00333,117.8333333,75.83333333,83.16666667,75.83333333,-1.65396855880595,0.662696246718346,1.24314585953504,0.436281084199448,0.918839350030176,5
"2850-57730","2640-97588",19.1,15.70236623,0.531579294,611.004,31498.94667,12.82672316,0.51832543,611.004,25730.40667,23.21604354,0.47011436,611.004,46571.38333,25.31275341,0.478724512,611.004,50777.38333,117,78.5,79,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,-0.416651290985905,-0.221277367518483,18.7,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,28998.99,21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,119,87,85,87,-0.319841925842042,-0.476208334764261,-1.69766351362466,-0.205448702771064,1.26592444166638,5
"2850-57735","2850-57806",17.4,15.02817049,0.511186426,611.004,30146.51,30.99803589,0.422869341,611.004,62182.06,33.99968096,0.416986865,611.004,68203.36,30.60939349,0.449029891,611.004,61402.44333,116,78.5,79.66666667,78.5,0.224690642671068,-0.312822534834813,0.766781208645738,1.86789010204513,0.550282079732735,15.88,11.25502825,0.516086951,669.4676667,22577.58667,14.26422898,0.518970434,659.167,28614.04333,18.0460319,0.470292612,659.167,36200.34,17.57589232,0.493413321,659.167,35257.24,120.1666667,83.83333333,86,83.83333333,-0.698176344430552,-0.62910335473214,-1.73689240845576,-1.03118255585448,-0.697062152438193,4
"2850-57736","2850-57567",18.71,18.82615819,0.485608418,674.418,37765.27333,20.40757062,0.477924978,611.3883333,40937.58667,19.58981555,0.466811049,627.366,39297.17,26.68112828,0.478086775,621.0033333,53522.34333,117.1666667,73,74.83333333,73,-1.17504035013197,0.922800644787313,-0.818227574717981,-1.18487704089458,-0.0219467461465931,16.6,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,121.5,102.1666667,102.5,102.1666667,1.49218081789379,-0.807622320284185,0.735008293751907,0.0720854814091001,-0.862562200968701,5
"2850-57746","2850-57582",16.91,16.74286308,0.495003601,658.0916667,33586.18333,19.18283317,0.480290485,642.151,38480.76333,22.0371552,0.479027413,665.8,44206.53333,18.33031073,0.470432651,665.8,36770.60333,115.8333333,78,NA,78,0.097442370598064,0.245029169142611,-1.00152637850741,-0.666401825577937,-1.23840700692644,15.9,NA,NA,NA,NA,28.49882187,0.467628455,626.7313333,57168.63667,24.79582419,0.471185748,627.0583333,49740.42333,10.86734629,0.526212895,643.7406667,21799.89667,118,88.5,86,88.5,-0.140630885646655,NA,1.17303054549732,0.72646096261262,-2.023526421517,2
"2850-57846","2850-57742",17.29,13.03171486,0.551398233,659.167,26141.62,21.79884679,0.448054925,642.4716667,43728.48667,24.82876869,0.459428468,642.151,49806.51,29.76354271,0.472972655,659.167,59705.66667,118.1666667,79.83333333,80,79.83333333,0.564019367350756,-0.96234197733198,-0.610003960994292,-0.0749913095473616,0.427067334079523,16.98,13.00562645,0.511030769,671.763,26089.28667,26.1463443,0.49002744,625.0783333,52449.56667,26.30566135,0.456120566,609.081,52769.15667,22.8044882,0.51172569,659.167,45745.80333,118,93,92,93,0.397002234939508,-0.179380228057897,0.692122624034258,1.11962202360503,0.336775221749527,4
"2850-57879","2850-57647",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,15.8,12.89783981,0.543297932,643.7406667,25873.06667,28.1838767,0.473800388,617.439,56536.85667,25.45478232,0.436115595,638.1653333,51062.29333,20.55910934,0.502370676,626.097,41241.57333,122.1666667,85.83333333,87.33333333,85.83333333,-0.459228290836701,-0.207070274097309,1.10864751842364,0.898053425961696,-0.107198005089152,4
"2850-57883","2850-57578",16.69,20.88361083,0.477014322,659.167,41892.52333,25.27007145,0.443795535,598.4333333,50691.76333,28.1415786,0.420426057,606.3786667,56452.00667,31.36723164,0.437279716,632.7336667,62922.66667,118,77.83333333,NA,77.83333333,0.0550262790587415,1.59216462744548,-0.0904874492207969,0.626836011964938,0.660676060688278,17.2,10.81633932,0.556799001,678.4426667,21697.57667,15.67680791,0.517385329,657.4626667,31447.67667,20.72179628,0.496782872,642.7923333,41567.92333,11.67128448,0.547842632,659.167,23412.59667,119,91.5,91.5,91.5,0.217791194744121,-0.741801149826969,-1.44812434290995,-0.334414460276221,-1.86456570501985,4
"2870-64908","2850-57733",18.58,12.54084247,0.56145742,675.4463333,25156.93,22.86535394,0.47117742,633.8136667,45867.9,24.19610003,0.477382231,641.3963333,48537.37667,23.69351944,0.475188692,649.4783333,47529.2,123.1666667,80,81.83333333,80,0.606435458890079,-1.12204057333336,-0.450386497816471,-0.209023796504205,-0.457150533902029,15.66,14.84394317,0.488091858,680.0823333,29776.95,20.45213858,0.480742509,611.004,41026.99,22.3788767,0.481773003,627.3723333,44892.02667,18.61630941,0.474711747,611.004,37344.31667,121.6666667,NA,102,102,1.47226847611183,0.292877508261001,-0.471921901664779,0.0970886933996008,-0.491343045995102,4
"2870-64909","2850-57582",17.46,13.53066633,0.536423157,673.7936667,27142.51667,38.09591392,0.402625511,609.081,76420.40333,27.94449319,0.41560494,614.7323333,56056.65333,30.02785311,0.437260381,597.723,60235.87333,117.6666667,72,73.16666667,72,-1.42953689427798,-0.800014963519235,1.82907627632923,0.5850829596718,0.465569324595508,15.9,NA,NA,NA,NA,28.49882187,0.467628455,626.7313333,57168.63667,24.79582419,0.471185748,627.0583333,49740.42333,10.86734629,0.526212895,643.7406667,21799.89667,118,88.5,86,88.5,-0.140630885646655,NA,1.17303054549732,0.72646096261262,-2.023526421517,4
"2870-65003","2850-57577",16.1,16.80360253,0.508698732,639.3743333,33708.02667,22.7877451,0.460682544,610.6836667,45712.21667,28.35118976,0.447607161,611.3883333,56872.48667,25.32722832,0.473120529,611.068,50806.42,114,75,75,75,-0.666047261839958,0.264789915692027,-0.462001728113777,0.671242676693216,-0.219168813153843,18.2,20.92472416,0.512057073,676.164,41974.99667,28.83623131,0.475799583,625.399,57845.48,28.80829345,0.443602398,627.1216667,57789.43667,29.54534563,0.455136562,636.0576667,59267.96333,119,90.83333333,91.16666667,90.83333333,0.138141843147924,1.85501086327307,1.24200585669334,1.77130653487355,1.66962834429855,4
